Rank;Name;Platform;Year;Genre;Publisher;EU_Sales
64;Mario Kart 64;N64;1996;Racing;Nintendo;1.94
65;New Super Mario Bros. 2;3DS;2012;Platform;Nintendo;3.07
66;Halo 4;X360;2012;Shooter;Microsoft Game Studios;2.36
67;Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;2.47
68;Call of Duty: Ghosts;PS3;2013;Shooter;Activision;3.73
69;Just Dance 2;Wii;2010;Misc;Ubisoft;2.89
70;Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment;3.42
71;Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;2.38
72;Donkey Kong Country;SNES;1994;Platform;Nintendo;1.71
73;Minecraft;X360;2013;Misc;Microsoft Game Studios;2.83
74;Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;2.32
75;Mario Party DS;DS;2007;Misc;Nintendo;1.88
76;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;2.86
77;Super Mario Kart;SNES;1992;Racing;Nintendo;1.24
78;FIFA 16;PS4;2015;Sports;Electronic Arts;6.06
79;Wii Party;Wii;2010;Misc;Nintendo;3.53
80;Halo 2;XB;2004;Shooter;Microsoft Game Studios;1.53
81;Mario Party 8;Wii;2007;Misc;Nintendo;2.3
82;Pokemon Black 2/Pokemon White 2;DS;2012;Role-Playing;Nintendo;1.86
83;FIFA Soccer 13;PS3;2012;Action;Electronic Arts;5.05
84;The Sims 3;PC;2009;Simulation;Electronic Arts;6.42
85;GoldenEye 007;N64;1997;Shooter;Nintendo;2.01
86;Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;3.9
87;Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;2.07
88;Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;1.72
89;Pokémon Platinum Version;DS;2008;Role-Playing;Nintendo;1.78
90;Pac-Man;2600;1982;Puzzle;Atari;0.45
91;Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;2.83
92;Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;2.42
93;Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts;3.29
94;Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;3.3
95;The Legend of Zelda: Ocarina of Time;N64;1998;Action;Nintendo;1.89
96;Crash Bandicoot 2: Cortex Strikes Back;PS;1997;Platform;Sony Computer Entertainment;2.17
97;Super Mario Bros. 2;NES;1988;Platform;Nintendo;1.18
98;Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;Nintendo;1.35
99;Call of Duty: World at War;X360;2008;Shooter;Activision;1.9
100;Battlefield 3;X360;2011;Shooter;Electronic Arts;2.13
101;The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;2.19
102;Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision;2.09
103;Just Dance;Wii;2009;Misc;Ubisoft;3.03
104;Battlefield 3;PS3;2011;Shooter;Electronic Arts;2.93
105;Need for Speed Underground;PS2;2003;Racing;Electronic Arts;2.83
106;Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;2.22
107;Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;1.75
108;Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;1.04
109;Mario Kart 8;WiiU;2014;Racing;Nintendo;2.07
110;Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;3.15
111;Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;1.77
112;Just Dance 4;Wii;2012;Misc;Ubisoft;2.21
113;FIFA 14;PS3;2013;Sports;Electronic Arts;4.32
114;Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;3.02
115;Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;2.75
116;Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment;2.8
117;Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment;2.35
118;Zumba Fitness;Wii;2010;Sports;505 Games;2.64
119;Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;1.92
120;Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;2.25
121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;2.3
122;FIFA 12;PS3;2011;Sports;Electronic Arts;4.32
123;Big Brain Academy;DS;2005;Misc;Nintendo;2.78
124;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;2.61
125;FIFA 15;PS4;2014;Sports;Electronic Arts;4.29
126;Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;1.84
127;The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;2.71
128;The Legend of Zelda;NES;1986;Action;Nintendo;0.93
129;Assassin's Creed III;PS3;2012;Action;Ubisoft;2.56
130;Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios;1.3
131;Pokémon Emerald Version;GBA;2004;Role-Playing;Nintendo;1.58
132;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;1.2
133;Pokémon Crystal Version;GB;2000;Role-Playing;Nintendo;1.56
134;Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;1.35
135;Red Dead Redemption;X360;2010;Action;Take-Two Interactive;1.97
136;Super Mario Sunshine;GC;2002;Platform;Nintendo;1.26
137;Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom;0.83
138;World of Warcraft;PC;2004;Role-Playing;Activision;6.21
139;Driver;PS;1999;Action;GT Interactive;2.8
140;Kinect Sports;X360;2010;Sports;Microsoft Game Studios;1.78
141;Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;1.62
142;Gears of War;X360;2006;Shooter;Microsoft Game Studios;1.9
143;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;2.01
144;Sonic the Hedgehog 2;GEN;1992;Platform;Sega;1.2
145;Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;1.74
146;Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;1.83
147;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;2.28
148;Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;0
149;LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;2.05
150;Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;0.69
151;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;1.63
152;Resident Evil 2;PS;1998;Action;Virgin Interactive;1.47
153;Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;1.89
154;Cooking Mama;DS;2006;Simulation;505 Games;1.94
155;Destiny;PS4;2014;Shooter;Activision;2.05
156;Tetris;NES;1988;Puzzle;Nintendo;0.69
157;Assassin's Creed II;PS3;2009;Action;Ubisoft;1.95
158;Super Smash Bros.;N64;1999;Fighting;Nintendo;0.6
159;Assassin's Creed;X360;2007;Adventure;Ubisoft;1.65
160;Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;1.91
161;Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;1.92
162;Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;0.57
163;Super Mario Advance;GBA;2001;Platform;Nintendo;1.24
164;Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;1.64
165;Super Mario World;GBA;2001;Platform;Nintendo;1.11
166;Pokemon Stadium;N64;1999;Strategy;Nintendo;1.24
167;Call of Duty: World at War;PS3;2008;Shooter;Activision;1.87
168;Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;2.29
169;Minecraft;PS3;2014;Misc;Sony Computer Entertainment;2.51
170;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;1.24
171;Dr. Mario;GB;1989;Puzzle;Nintendo;0.96
172;Pokemon Pinball;GB;1999;Misc;Nintendo;1.12
173;Assassin's Creed III;X360;2012;Action;Ubisoft;1.71
174;Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;0.77
175;Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;1.08
176;Donkey Kong 64;N64;1999;Platform;Nintendo;0.79
177;Assassin's Creed II;X360;2009;Action;Ubisoft;1.56
178;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;2.48
179;Tomb Raider II;PS;1997;Action;Eidos Interactive;2.46
180;Madden NFL 2004;PS2;N/A;Sports;Electronic Arts;0.26
181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;0.75
182;Diablo III;PC;2012;Role-Playing;Activision;2.15
183;Super Mario Bros. 3;GBA;2003;Platform;Nintendo;1.25
184;New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;1.3
185;Super Mario Land 3: Wario Land;GB;1994;Platform;Nintendo;0.98
186;FIFA Soccer 13;X360;2012;Action;Electronic Arts;3.48
187;The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;1.83
188;Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995;Platform;Nintendo;0.74
189;Tomodachi Life;3DS;2013;Simulation;Nintendo;2.02
190;Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega;2.48
191;Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;2.23
192;Kirby's Dream Land;GB;1992;Platform;Nintendo;0.61
193;Fable III;X360;2010;Role-Playing;Microsoft Game Studios;1.11
194;Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;1.53
195;Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios;1.69
196;Guitar Hero II;PS2;2006;Misc;RedOctane;0.63
197;Resident Evil 5;PS3;2009;Action;Capcom;1.43
198;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;2.01
199;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;2.02
200;FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;3.29
201;Super Mario Bros.;GB;1999;Platform;Nintendo;1.3
202;Resident Evil;PS;1996;Action;Virgin Interactive;1.16
203;Tony Hawk's Pro Skater;PS;1999;Sports;Activision;1.38
204;Super Smash Bros. for Wii U and 3DS;WiiU;2014;Fighting;Nintendo;1.06
205;Warzone 2100;PS;1999;Strategy;Eidos Interactive;1.89
206;Spyro the Dragon;PS;1998;Platform;Sony Computer Entertainment;1.36
207;Link's Crossbow Training;Wii;2007;Shooter;Nintendo;1.18
208;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;0.01
209;Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;1.03
210;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo;1.2
211;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment;1.73
212;Madden NFL 06;PS2;2005;Sports;Electronic Arts;0.26
213;LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;1.54
214;Diddy Kong Racing;N64;1997;Racing;Nintendo;0.99
215;Monster Hunter Freedom 3;PSP;2010;Role-Playing;Capcom;0
216;Dr. Mario;NES;1990;Puzzle;Nintendo;0.6
217;God of War III;PS3;2010;Action;Sony Computer Entertainment;1.36
218;StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;1.68
219;Assassin's Creed;PS3;2007;Adventure;Ubisoft;2
220;FIFA 15;PS3;2014;Sports;Electronic Arts;3.14
221;Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;1.57
222;FIFA 17;PS4;2016;Sports;Electronic Arts;3.75
223;Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment;1.31
224;Driver 2;PS;2000;Action;Atari;2.1
225;The Simpsons: Hit & Run;PS2;2003;Racing;Vivendi Games;2.19
226;Tony Hawk's Pro Skater 2;PS;2000;Sports;Activision;1.41
227;Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;1.12
228;The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts;1.95
229;Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios;2.04
230;Tomb Raider;PS;1996;Action;Eidos Interactive;1.97
231;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;1.12
232;The Legend of Zelda: A Link to the Past;SNES;1991;Action;Nintendo;0.91
233;The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo;0.99
234;Mario & Sonic at the Olympic Winter Games;Wii;2009;Sports;Sega;1.99
235;Luigi's Mansion: Dark Moon;3DS;2013;Action;Nintendo;1.39
236;Splatoon;WiiU;2015;Shooter;Nintendo;1.15
237;The Last of Us;PS4;2014;Action;Sony Computer Entertainment;1.87
238;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;0.92
239;Madden NFL 2005;PS2;2004;Sports;Electronic Arts;0.26
240;Pitfall!;2600;1981;Platform;Activision;0.24
241;Madden NFL 07;PS2;2006;Sports;Electronic Arts;0.24
242;Spider-Man: The Movie;PS2;2002;Action;Activision;1.51
243;Dragon Quest VII: Warriors of Eden;PS;2000;Role-Playing;Enix Corporation;0.14
244;Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment;1.69
245;Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision;1.94
246;God of War;PS2;2005;Action;Sony Computer Entertainment;1.29
247;Nintendo Land;WiiU;2012;Misc;Nintendo;1.11
248;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;1.35
249;Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision;1.29
250;Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment;2.39
251;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;1.05
252;Zelda II: The Adventure of Link;NES;1987;Adventure;Nintendo;0.5
253;Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts;1.79
254;Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment;1.73
255;Sonic the Hedgehog;GEN;1991;Platform;Sega;0.91
256;Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix;0.58
257;FIFA 14;X360;2013;Sports;Electronic Arts;2.93
258;Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision;1.18
259;Asteroids;2600;1980;Shooter;Atari;0.26
260;Fable II;X360;2008;Role-Playing;Microsoft Game Studios;1.27
261;Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios;1.2
262;Super Mario 3D World;WiiU;2013;Platform;Nintendo;1.11
263;Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive;1.34
264;Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft;2.02
265;Namco Museum;GBA;2001;Misc;Namco Bandai Games;1.11
266;Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment;0
267;Daxter;PSP;2006;Platform;Sony Computer Entertainment;1.02
268;Warcraft II: Tides of Darkness;PC;1995;Strategy;Activision;2.27
269;The Legend of Zelda: Ocarina of Time;3DS;2011;Action;Nintendo;1.27
270;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;2.55
271;EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment;2.3
272;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;2.07
273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;1.83
274;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft;1.47
275;Street Fighter IV;PS3;2009;Fighting;Capcom;1.06
276;FIFA 12;X360;2011;Sports;Electronic Arts;2.79
277;Teenage Mutant Ninja Turtles;NES;1989;Action;Palcom;0.44
278;Excitebike;NES;1984;Racing;Nintendo;0.48
279;Frogger;PS;1997;Action;Hasbro Interactive;0.27
280;Madden NFL 2003;PS2;2002;Sports;Electronic Arts;0.21
281;Watch Dogs;PS4;2014;Action;Ubisoft;1.86
282;Half-Life;PC;1997;Shooter;Vivendi Games;0
283;Super Mario World 2: Yoshi's Island;SNES;1995;Platform;Nintendo;0.61
284;FIFA Soccer 07;PS2;2006;Sports;Electronic Arts;2.48
285;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;1.2
286;Street Fighter II Turbo;SNES;1992;Fighting;Capcom;0.51
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;1.5
288;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;1.26
289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;1.52
290;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks;1.06
291;God of War II;PS2;2007;Action;Sony Computer Entertainment;0.04
292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;1.28
293;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment;2.26
294;Namco Museum Vol.3;PS;1996;Misc;Sony Computer Entertainment;1.55
295;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games;1.51
296;Far Cry 4;PS4;2014;Shooter;Ubisoft;2.12
297;Star Fox 64;N64;1997;Shooter;Nintendo;0.58
298;Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe;1.87
299;Golf;NES;1984;Sports;Nintendo;0.28
300;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks;1.2
301;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;1.78
302;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts;0.89
303;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games;1.35
304;EA Sports Active;Wii;2009;Sports;Electronic Arts;1.36
305;Assassin's Creed: Unity;PS4;2014;Action;Ubisoft;1.96
306;Donkey Kong Land;GB;1994;Platform;Nintendo;0.76
307;Tony Hawk's Underground;PS2;2003;Sports;Activision;1.17
308;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft;1.71
309;Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo;0.49
310;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment;1.61
311;The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;2.09
312;Tekken 5;PS2;2005;Fighting;Namco Bandai Games;1.94
313;Dragon Warrior III;NES;1988;Role-Playing;Enix Corporation;0
314;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment;1.14
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive;0.65
316;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment;1.89
317;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;1.57
318;Namco Museum Vol.1;PS;1995;Misc;Sony Computer Entertainment;1.44
319;The Legend of Zelda: Link's Awakening;GB;1992;Action;Nintendo;0.96
320;Mario & Luigi: Bowser's Inside Story;DS;2009;Role-Playing;Nintendo;0.48
321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;1.93
322;Nintendogs + cats;3DS;2011;Simulation;Nintendo;1.37
323;Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment;1.58
324;Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sports;Sega;1.91
325;LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision;1.03
326;Resident Evil Director's Cut;PS;1996;Action;Virgin Interactive;1.24
327;Ratchet & Clank: Size Matters;PSP;2007;Platform;Sony Computer Entertainment;1.4
328;Just Dance 2014;Wii;2013;Misc;Ubisoft;1.47
329;The Sims: Unleashed;PC;2002;Simulation;Electronic Arts;1.56
330;Super Paper Mario;Wii;2007;Platform;Nintendo;0.88
331;Harry Potter and the Sorcerer's Stone;PS;2001;Action;Electronic Arts;2
332;The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games;2
333;Resident Evil 3: Nemesis;PS;1999;Action;Eidos Interactive;0.77
334;Spyro: Year of the Dragon;PS;2000;Platform;Sony Computer Entertainment;1.58
335;FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts;2.48
336;Pokémon Trading Card Game;GB;1998;Strategy;Nintendo;0.73
337;Battlefield 4;PS3;2013;Shooter;Electronic Arts;1.51
338;MySims;DS;2007;Simulation;Electronic Arts;1.61
339;Friend Collection;DS;2009;Misc;Nintendo;0
340;Tony Hawk's Pro Skater 4;PS2;2002;Sports;Activision;1.18
341;Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive;1.22
342;Banjo-Kazooie;N64;1998;Platform;Nintendo;1.13
343;SOCOM: U.S. Navy SEALs;PS2;2002;Shooter;Sony Computer Entertainment;0.81
344;Guitar Hero: World Tour;Wii;2008;Misc;Activision;0.97
345;Gran Turismo 6;PS3;2013;Racing;Sony Computer Entertainment;1.8
346;Jak and Daxter: The Precursor Legacy;PS2;2001;Platform;Sony Computer Entertainment;1.09
347;Pokemon Snap;N64;1999;Simulation;Nintendo;0.68
348;FIFA Soccer 10;PS3;2009;Sports;Electronic Arts;2.46
349;Pro Evolution Soccer 2008;PS2;2007;Sports;Konami Digital Entertainment;0
350;Call of Duty: Ghosts;PS4;2013;Shooter;Activision;1.42
351;Resident Evil 4;PS2;2005;Action;Capcom;0.83
352;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft;1.61
353;Star Wars: Battlefront;PS2;2004;Shooter;LucasArts;1.22
354;Doom II: Hell on Earth;PC;1994;Shooter;Virgin Interactive;1.4
355;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts;1.17
356;Cooking Mama 2: Dinner With Friends;DS;2007;Simulation;505 Games;1.5
357;Luigi's Mansion;GC;2001;Action;Nintendo;0.67
358;Star Wars: Battlefront II;PS2;2005;Shooter;LucasArts;1.02
359;WWF SmackDown!;PS;2000;Fighting;THQ;1.35
360;Croc: Legend of the Gobbos;PS;1997;Platform;Fox Interactive;1.79
361;Grand Theft Auto: Liberty City Stories;PS2;2006;Action;Take-Two Interactive;1.4
362;The Getaway;PS2;2002;Action;Sony Computer Entertainment;1.77
363;Tomb Raider III: Adventures of Lara Croft;PS;1997;Action;Eidos Interactive;1.58
364;James Bond 007: Agent Under Fire;PS2;2001;Shooter;Electronic Arts;1.13
365;LEGO Star Wars: The Video Game;PS2;2005;Action;Eidos Interactive;1.14
366;Battlefield 4;X360;2013;Shooter;Electronic Arts;1.08
367;FIFA Soccer 11;X360;2010;Sports;Electronic Arts;2.4
368;Rugrats in Paris: The Movie;PS;2000;Action;THQ;1.33
369;Spyro 2: Ripto's Rage!;PS;1999;Platform;Sony Computer Entertainment;1.21
370;Left 4 Dead;X360;2008;Shooter;Electronic Arts;0.5
371;Mario & Sonic at the Olympic Winter Games;DS;2009;Sports;Sega;1.66
372;Resident Evil 5;X360;2009;Action;Capcom;0.94
373;Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;1996;Platform;Nintendo;0.5
374;Assassin's Creed: Brotherhood;X360;2010;Action;Ubisoft;0.39
375;Kung Fu;NES;1985;Action;Nintendo;0.38
376;Batman: Arkham Asylum;X360;2009;Action;Eidos Interactive;0.97
377;Clubhouse Games;DS;2006;Misc;Nintendo;1.83
378;FIFA Soccer 2004;PS2;N/A;Sports;Electronic Arts;2.36
379;Star Wars Battlefront (2015);XOne;2015;Shooter;Electronic Arts;1.22
